"date"	"dateTime"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"feeder"	"dateRinged"	"timeRinged"	"btoRingType"	"btoID"	"species"	"pitTYPE"	"age"	"sex"	"wing"	"weight"	"timeSincePreviousVisit"
2022-02-04	2022-02-04 12:58:01	604	"c1931 "	15601	0	18	29	123648	120	1	1	"01103F9ECD"	"F02"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	4	""	64	10.7	"firstVisit"
2022-02-04	2022-02-04 12:58:02	471	"c1931 "	15601	0	735	36	124672	340	2	1	"01103F7DB1"	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"6702"
2022-02-04	2022-02-04 13:02:28	771	"c1931 "	15601	0	1992	30	124672	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"274"
2022-02-04	2022-02-04 13:02:32	1021	"c1931 "	15601	0	1991	30	124672	148	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-04	2022-02-04 13:03:21	592	"c1931 "	15601	0	130020	27	124672	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"9"
2022-02-04	2022-02-04 13:03:27	47	"c1931 "	15601	0	78292	57	124160	816	6	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"6"
2022-02-04	2022-02-04 13:37:59	223	"c1931 "	15601	0	101807	33	124672	266	2	1	"01103F9ECD"	"F02"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	4	""	64	10.7	"2398"
2022-02-04	2022-02-04 13:41:37	692	"c1931 "	15601	0	101808	34	124672	268	2	1	"01103F9ECD"	"F02"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	4	""	64	10.7	"218"
2022-02-04	2022-02-04 13:41:41	70	"c1931 "	15601	0	116879	27	124672	132	1	1	"01103F9ECD"	"F02"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	4	""	64	10.7	"4"
2022-02-04	2022-02-04 13:41:50	619	"c1935 "	156	0	114877	33	126208	268	2	1	"01103F9ECD"	"F01"	"09/11/2021"	"09:52"	"R"	"AKL0898"	"BT"	"R"	4	""	64	10.7	"6251"
