"Date"	"Hmsec"	"CounterID"	"RFID"	"BtwVisitInterval"	"WtnVisitInterval"
2019-05-01 12:49:35	" 375 "	"c1254 "	"041815A047"	195	195
2019-05-01 12:52:20	"1011 "	"c1254 "	"041815A047"	165	165
2019-05-01 12:53:05	" 383 "	"c1254 "	"041815A047"	45	45
2019-05-01 12:53:15	"  34 "	"c1254 "	"041815A047"	10	10
2019-05-01 12:54:39	" 590 "	"c1254 "	"041815A047"	84	84
2019-05-01 12:54:56	" 951 "	"c1254 "	"041815A047"	17	17
2019-05-01 12:56:19	" 545 "	"c1254 "	"041815A047"	83	83
2019-05-01 12:56:27	"1019 "	"c1254 "	"041815A047"	8	8
2019-05-01 12:57:30	" 259 "	"c1254 "	"041815A047"	63	63
2019-05-01 12:58:16	"1074 "	"c1254 "	"041815A047"	46	46
2019-05-01 13:02:03	"  65 "	"c1254 "	"041815A047"	116	227
2019-05-01 13:03:00	" 278 "	"c1254 "	"041815A047"	57	57
2019-05-01 13:03:34	" 241 "	"c1254 "	"041815A047"	34	34
2019-05-01 13:03:55	" 206 "	"c1254 "	"041815A047"	21	21
2019-05-01 13:04:24	" 281 "	"c1254 "	"041815A047"	20	29
2019-05-01 13:04:35	" 908 "	"c1254 "	"041815A047"	11	11
2019-05-01 13:06:34	" 901 "	"c1254 "	"041815A047"	33	119
2019-05-01 13:06:45	" 281 "	"c1254 "	"041815A047"	11	11
2019-05-01 13:10:10	" 213 "	"c1254 "	"041815A047"	205	205
2019-05-01 13:11:28	" 949 "	"c1254 "	"041815A047"	78	78
2019-05-01 13:12:15	" 707 "	"c1254 "	"041815A047"	29	47
2019-05-01 13:12:27	" 648 "	"c1254 "	"041815A047"	12	12
2019-05-01 13:13:28	" 559 "	"c1254 "	"041815A047"	61	61
2019-05-01 13:15:50	"1061 "	"c1254 "	"041815A047"	142	142
2019-05-01 13:16:52	" 427 "	"c1254 "	"041815A047"	36	62
2019-05-01 13:16:59	" 962 "	"c1254 "	"041815A047"	7	7
2019-05-01 10:20:03	" 807 "	"c1254 "	"04194821CD"	28	0
2019-05-01 10:20:21	" 358 "	"c1254 "	"04194821CD"	18	18
2019-05-01 10:23:24	" 845 "	"c1254 "	"04194821CD"	183	183
2019-05-01 10:23:39	" 197 "	"c1254 "	"04194821CD"	15	15
2019-05-01 10:26:00	" 560 "	"c1254 "	"04194821CD"	11	141
2019-05-01 10:26:02	" 140 "	"c1254 "	"04194821CD"	2	2
2019-05-01 10:26:03	" 413 "	"c1254 "	"04194821CD"	1	1
2019-05-01 10:26:21	" 202 "	"c1254 "	"04194821CD"	18	18
2019-05-01 10:28:34	"1132 "	"c1254 "	"04194821CD"	7	133
2019-05-01 10:28:44	" 127 "	"c1254 "	"04194821CD"	10	10
2019-05-01 10:29:26	"  97 "	"c1254 "	"04194821CD"	6	42
2019-05-01 10:29:38	" 724 "	"c1254 "	"04194821CD"	4	12
2019-05-01 10:30:25	" 731 "	"c1254 "	"04194821CD"	39	47
2019-05-01 10:30:38	" 497 "	"c1254 "	"04194821CD"	13	13
2019-05-01 10:32:20	"1093 "	"c1254 "	"04194821CD"	41	102
2019-05-01 10:32:37	" 671 "	"c1254 "	"04194821CD"	2	17
2019-05-01 10:38:12	"  83 "	"c1254 "	"04194821CD"	3	335
2019-05-01 10:38:13	" 363 "	"c1254 "	"04194821CD"	1	1
2019-05-01 10:39:23	" 395 "	"c1254 "	"04194821CD"	70	70
2019-05-01 10:42:32	" 274 "	"c1254 "	"04194821CD"	4	189
2019-05-01 10:42:33	" 300 "	"c1254 "	"04194821CD"	1	1
2019-05-01 10:42:40	" 867 "	"c1254 "	"04194821CD"	7	7
2019-05-01 10:43:29	"1150 "	"c1254 "	"04194821CD"	35	49
2019-05-01 10:43:33	" 117 "	"c1254 "	"04194821CD"	4	4
2019-05-01 10:45:52	"   3 "	"c1254 "	"04194821CD"	10	139
2019-05-01 10:45:54	" 422 "	"c1254 "	"04194821CD"	2	2
2019-05-01 10:46:01	" 368 "	"c1254 "	"04194821CD"	7	7
2019-05-01 10:48:17	"  91 "	"c1254 "	"04194821CD"	4	136
2019-05-01 10:48:27	" 387 "	"c1254 "	"04194821CD"	10	10
2019-05-01 10:50:47	" 739 "	"c1254 "	"04194821CD"	37	140
2019-05-01 10:50:55	"  34 "	"c1254 "	"04194821CD"	8	8
2019-05-01 10:56:23	" 124 "	"c1254 "	"04194821CD"	5	328
2019-05-01 10:56:34	" 107 "	"c1254 "	"04194821CD"	11	11
2019-05-01 10:57:30	" 319 "	"c1254 "	"04194821CD"	3	56
2019-05-01 10:57:34	" 594 "	"c1254 "	"04194821CD"	4	4
