"chNtimeDate25"	"timeDate"	"RFID"	"feeder"
"A0610514114150120"	"514114150120"	"10171394"	"feeder01"
"A0611544114150120"	"544114150120"	"1016BF71"	"feeder01"
"A0602514214150120"	"514214150120"	"1016BF71"	"feeder01"
"A0610054314150120"	"054314150120"	"103F473D"	"feeder01"
"A0607104314150120"	"104314150120"	"1016FB74"	"feeder01"
"A0613104314150120"	"104314150120"	"1016FB74"	"feeder01"
"A0602114314150120"	"114314150120"	"1016FB74"	"feeder01"
"A0609134314150120"	"134314150120"	"103F99A7"	"feeder01"
"A0615134314150120"	"134314150120"	"103F99A7"	"feeder01"
"A0608054514150120"	"054514150120"	"103F473D"	"feeder01"
"A0605394514150120"	"394514150120"	"1016AD9B"	"feeder01"
"A0610394514150120"	"394514150120"	"1016AD9B"	"feeder01"
"A0601124614150120"	"124614150120"	"103F5D0B"	"feeder01"
"A0606124614150120"	"124614150120"	"103F5D0B"	"feeder01"
"A0613184614150120"	"184614150120"	"10171394"	"feeder01"
"A0602194614150120"	"194614150120"	"10171394"	"feeder01"
"A0606214614150120"	"214614150120"	"103F99A7"	"feeder01"
"A0601035314150120"	"035314150120"	"198E0DBA"	"feeder01"
"A0604175414150120"	"175414150120"	"10170740"	"feeder01"
"A0605425414150120"	"425414150120"	"198E0DBA"	"feeder01"
"A0610425414150120"	"425414150120"	"198E0DBA"	"feeder01"
"A0600435414150120"	"435414150120"	"198E0DBA"	"feeder01"
"A0601085514150120"	"085514150120"	"97F496D1"	"feeder01"
"A0608445514150120"	"445514150120"	"103F51E9"	"feeder01"
"A0613445514150120"	"445514150120"	"103F51E9"	"feeder01"
"A0608455514150120"	"455514150120"	"103F51E9"	"feeder01"
"A0614455514150120"	"455514150120"	"103F51E9"	"feeder01"
"A0603035614150120"	"035614150120"	"1016BF71"	"feeder01"
"A0608035614150120"	"035614150120"	"1016BF71"	"feeder01"
"A0613035614150120"	"035614150120"	"1016BF71"	"feeder01"
"A0604275614150120"	"275614150120"	"198E0DBA"	"feeder01"
"A0609275614150120"	"275614150120"	"198E0DBA"	"feeder01"
"A0614275614150120"	"275614150120"	"198E0DBA"	"feeder01"
"A0603435714150120"	"435714150120"	"103F51E9"	"feeder01"
"A0604455714150120"	"455714150120"	"103F51E9"	"feeder01"
"A0602345814150120"	"345814150120"	"103F51E9"	"feeder01"
"A0607180015150120"	"180015150120"	"103F51E9"	"feeder01"
"A0614230015150120"	"230015150120"	"1016AD9B"	"feeder01"
"A0615550015150120"	"550015150120"	"103F7AE2"	"feeder01"
"A0607590015150120"	"590015150120"	"103F4A5C"	"feeder01"
"A0612590015150120"	"590015150120"	"103F4A5C"	"feeder01"
"A0609110115150120"	"110115150120"	"1016AD9B"	"feeder01"
"A0614110115150120"	"110115150120"	"1016AD9B"	"feeder01"
"A0603120115150120"	"120115150120"	"1016AD9B"	"feeder01"
"A0609120115150120"	"120115150120"	"1016AD9B"	"feeder01"
"A0603290115150120"	"290115150120"	"103F7AE2"	"feeder01"
"A0600100215150120"	"100215150120"	"103F51E9"	"feeder01"
"A0605100215150120"	"100215150120"	"103F51E9"	"feeder01"
"A0611100215150120"	"100215150120"	"103F51E9"	"feeder01"
"A0600110215150120"	"110215150120"	"103F51E9"	"feeder01"
"A0605110215150120"	"110215150120"	"103F51E9"	"feeder01"
"A0611110215150120"	"110215150120"	"103F51E9"	"feeder01"
"A0600120215150120"	"120215150120"	"103F51E9"	"feeder01"
"A0610120215150120"	"120215150120"	"103F51E9"	"feeder01"
"A0602050515150120"	"050515150120"	"10170740"	"feeder01"
"A0607050515150120"	"050515150120"	"10170740"	"feeder01"
"A0613050515150120"	"050515150120"	"10170740"	"feeder01"
"A0602060515150120"	"060515150120"	"10170740"	"feeder01"
"A0610084015150120"	"084015150120"	"103F473D"	"feeder01"
