F 	Date            	Hmsec 	ID   	Event 	Batt 	Light 	   T1 	   T2  	   T3 	   TC 	 Hall  	Batt(mV) 	CoreTemp(C)
D 	2022-02-04 22:02:47	  67 	c1937 	 2752 	 3590	    1	  683	  990	 1114	 1388	 4095	7011	003
D 	2022-02-04 22:03:47	  70 	c1937 	 2752 	 3515	    1	  683	  990	 1114	 1388	 4095	6865	003
D 	2022-02-04 22:04:47	  68 	c1937 	 2752 	 3589	    0	  683	  990	 1114	 1388	 4095	7009	003
D 	2022-02-04 22:05:47	  67 	c1937 	 2752 	 3586	    1	  682	  990	 1114	 1388	 4095	7003	003
D 	2022-02-04 22:06:47	  67 	c1937 	 2752 	 3589	    1	  683	  991	 1114	 1388	 4095	7009	003
D 	2022-02-04 22:07:47	  70 	c1937 	 2752 	 3589	    0	  682	  991	 1114	 1389	 4095	7009	003
D 	2022-02-04 22:08:47	  70 	c1937 	 2752 	 3590	    1	  683	  991	 1113	 1388	 4095	7011	003
D 	2022-02-04 22:09:47	  68 	c1937 	 2752 	 3589	    1	  683	  991	 1114	 1388	 4095	7009	003
D 	2022-02-04 22:10:47	  70 	c1937 	 2752 	 3589	    1	  683	  991	 1114	 1388	 4095	7009	003
D 	2022-02-04 22:11:47	  69 	c1937 	 2752 	 3590	    1	  683	  991	 1114	 1389	 4095	7011	003
D 	2022-02-04 22:12:47	  69 	c1937 	 2752 	 3588	    0	  683	  991	 1114	 1388	 4095	7007	003
D 	2022-02-04 22:13:47	  70 	c1937 	 2752 	 3587	    1	  683	  991	 1115	 1388	 4095	7005	003
D 	2022-02-04 22:14:47	  67 	c1937 	 2752 	 3589	    1	  683	  991	 1114	 1388	 4095	7009	003
D 	2022-02-04 22:15:47	  69 	c1937 	 2752 	 3589	    1	  683	  991	 1114	 1388	 4095	7009	003
D 	2022-02-04 22:16:47	  70 	c1937 	 2752 	 3588	    1	  683	  991	 1115	 1388	 4095	7007	003
D 	2022-02-04 22:17:47	  68 	c1937 	 2752 	 3584	    1	  683	  991	 1113	 1388	 4095	7000	003
D 	2022-02-04 22:18:47	  69 	c1937 	 2752 	 3588	    1	  683	  991	 1114	 1388	 4095	7007	003
D 	2022-02-04 22:19:47	  68 	c1937 	 2752 	 3589	    0	  683	  991	 1114	 1388	 4095	7009	003
D 	2022-02-04 22:20:47	  68 	c1937 	 2752 	 3588	    0	  683	  991	 1113	 1388	 4095	7007	003
D 	2022-02-04 22:21:47	  69 	c1937 	 2752 	 3588	    0	  683	  991	 1114	 1388	 4095	7007	003
D 	2022-02-04 22:22:47	  68 	c1937 	 2752 	 3587	    1	  683	  991	 1115	 1388	 4095	7005	003
D 	2022-02-04 22:23:47	  70 	c1937 	 2752 	 3587	    1	  683	  991	 1114	 1388	 4095	7005	003
D 	2022-02-04 22:24:47	  68 	c1937 	 2752 	 3585	    1	  682	  990	 1113	 1389	 4095	7001	003
D 	2022-02-04 22:25:47	  68 	c1937 	 2752 	 3586	    1	  683	  991	 1114	 1387	 4095	7003	003
D 	2022-02-04 22:26:47	  68 	c1937 	 2752 	 3587	    1	  683	  991	 1114	 1388	 4095	7005	003
D 	2022-02-04 22:27:47	  68 	c1937 	 2752 	 3586	    1	  683	  990	 1114	 1388	 4095	7003	003
D 	2022-02-04 22:28:47	  68 	c1937 	 2752 	 3587	    1	  683	  991	 1113	 1388	 4095	7005	003
D 	2022-02-04 22:29:47	  70 	c1937 	 2752 	 3586	    1	  683	  991	 1114	 1388	 4095	7003	003
D 	2022-02-04 22:30:47	  70 	c1937 	 2752 	 3586	    1	  683	  991	 1114	 1387	 4095	7003	003
D 	2022-02-04 22:31:47	  69 	c1937 	 2752 	 3586	    1	  683	  991	 1114	 1386	 4095	7003	002
D 	2022-02-04 22:32:47	  69 	c1937 	 2752 	 3585	    1	  682	  990	 1114	 1388	 4095	7001	003
D 	2022-02-04 22:33:47	  67 	c1937 	 2752 	 3585	    1	  683	  991	 1114	 1388	 4095	7001	003
D 	2022-02-04 22:34:47	  69 	c1937 	 2752 	 3584	    1	  683	  991	 1113	 1387	 4095	7000	003
D 	2022-02-04 22:35:47	  68 	c1937 	 2752 	 3583	    0	  683	  990	 1114	 1387	 4095	6998	003
D 	2022-02-04 22:36:47	  67 	c1937 	 2752 	 3585	    1	  682	  991	 1113	 1388	 4095	7001	003
D 	2022-02-04 22:37:47	  68 	c1937 	 2752 	 3585	    1	  683	  991	 1114	 1388	 4095	7001	003
D 	2022-02-04 22:38:47	  69 	c1937 	 2752 	 3585	    1	  683	  990	 1113	 1389	 4095	7001	003
D 	2022-02-04 22:39:47	  69 	c1937 	 2752 	 3584	    1	  683	  990	 1113	 1387	 4095	7000	003
D 	2022-02-04 22:40:47	  68 	c1937 	 2752 	 3584	    1	  683	  991	 1114	 1388	 4095	7000	003
D 	2022-02-04 22:41:47	  69 	c1937 	 2752 	 3584	    1	  682	  990	 1113	 1388	 4095	7000	003
D 	2022-02-04 22:42:47	  68 	c1937 	 2752 	 3585	    1	  683	  991	 1114	 1388	 4095	7001	003
D 	2022-02-04 22:43:47	  69 	c1937 	 2752 	 3584	    1	  683	  991	 1113	 1388	 4095	7000	003
D 	2022-02-04 22:44:47	  67 	c1937 	 2752 	 3585	    1	  683	  990	 1114	 1389	 4095	7001	003
D 	2022-02-04 22:45:47	  69 	c1937 	 2752 	 3583	    0	  682	  990	 1114	 1387	 4095	6998	003
D 	2022-02-04 22:46:47	  69 	c1937 	 2752 	 3583	    1	  682	  990	 1114	 1388	 4095	6998	003
T 	2022-02-04 22:47:02	 822 	c1937 	 2752 
S
D 	2022-02-04 22:47:47	  68 	c1937 	 2752 	 3585	    1	  683	  991	 1114	 1387	 4095	7001	003
D 	2022-02-04 22:48:47	  69 	c1937 	 2752 	 3581	    1	  683	  989	 1110	 1389	 4095	6994	003
D 	2022-02-04 22:49:47	  66 	c1937 	 2752 	 3583	    1	  683	  991	 1113	 1387	 4095	6998	003
D 	2022-02-04 22:50:47	  70 	c1937 	 2752 	 3581	    1	  682	  990	 1113	 1387	 4095	6994	003
D 	2022-02-04 22:51:47	  69 	c1937 	 2752 	 3583	    0	  683	  991	 1113	 1388	 4095	6998	003
D 	2022-02-04 22:52:47	  69 	c1937 	 2752 	 3583	    1	  683	  991	 1114	 1386	 4095	6998	002
D 	2022-02-04 22:53:47	  69 	c1937 	 2752 	 3583	    1	  683	  990	 1114	 1388	 4095	6998	003
D 	2022-02-04 22:54:47	  70 	c1937 	 2752 	 3584	    1	  682	  990	 1113	 1388	 4095	7000	003
D 	2022-02-04 22:55:47	  69 	c1937 	 2752 	 3583	    1	  683	  991	 1114	 1387	 4095	6998	003
D 	2022-02-04 22:56:47	  67 	c1937 	 2752 	 3581	    1	  683	  990	 1113	 1388	 4095	6994	003
D 	2022-02-04 22:57:47	  68 	c1937 	 2752 	 3582	    1	  683	  990	 1114	 1388	 4095	6996	003
D 	2022-02-04 22:58:47	  69 	c1937 	 2752 	 3580	    1	  683	  991	 1114	 1388	 4095	6992	003
D 	2022-02-04 22:59:47	  69 	c1937 	 2752 	 3583	    1	  683	  990	 1114	 1388	 4095	6998	003
D 	2022-02-04 23:00:47	  69 	c1937 	 2752 	 3583	    1	  683	  991	 1114	 1388	 4095	6998	003
D 	2022-02-04 23:01:47	  67 	c1937 	 2752 	 3582	    0	  683	  991	 1113	 1387	 4095	6996	003
D 	2022-02-04 23:02:47	  67 	c1937 	 2752 	 3581	    1	  683	  991	 1114	 1388	 4095	6994	003
D 	2022-02-04 23:03:47	  68 	c1937 	 2752 	 3580	    1	  683	  990	 1113	 1388	 4095	6992	003
D 	2022-02-04 23:04:47	  69 	c1937 	 2752 	 3583	    1	  683	  990	 1113	 1387	 4095	6998	003
D 	2022-02-04 23:05:47	  68 	c1937 	 2752 	 3582	    1	  683	  990	 1114	 1388	 4095	6996	003
D 	2022-02-04 23:06:47	  67 	c1937 	 2752 	 3582	    1	  683	  991	 1113	 1388	 4095	6996	003
D 	2022-02-04 23:07:47	  67 	c1937 	 2752 	 3581	    1	  683	  991	 1114	 1387	 4095	6994	003
D 	2022-02-04 23:08:47	  69 	c1937 	 2752 	 3582	    1	  682	  991	 1113	 1386	 4095	6996	002
D 	2022-02-04 23:09:47	  68 	c1937 	 2752 	 3581	    1	  683	  991	 1113	 1387	 4095	6994	003
D 	2022-02-04 23:10:47	  67 	c1937 	 2752 	 3582	    1	  683	  990	 1114	 1388	 4095	6996	003
D 	2022-02-04 23:11:47	  69 	c1937 	 2752 	 3582	    1	  682	  991	 1114	 1387	 4095	6996	003
D 	2022-02-04 23:12:47	  69 	c1937 	 2752 	 3506	    1	  683	  990	 1114	 1388	 4095	6847	003
D 	2022-02-04 23:13:47	  70 	c1937 	 2752 	 3580	    1	  683	  990	 1114	 1388	 4095	6992	003
D 	2022-02-04 23:14:47	  69 	c1937 	 2752 	 3580	    1	  682	  991	 1114	 1387	 4095	6992	003
D 	2022-02-04 23:15:47	  69 	c1937 	 2752 	 3577	    1	  683	  990	 1114	 1387	 4095	6986	003
D 	2022-02-04 23:16:47	  69 	c1937 	 2752 	 3579	    1	  682	  990	 1113	 1387	 4095	6990	003
D 	2022-02-04 23:17:47	  69 	c1937 	 2752 	 3579	    2	  686	  994	 1110	 1387	 4095	6990	003
D 	2022-02-04 23:18:47	  69 	c1937 	 2752 	 3580	    1	  682	  991	 1113	 1387	 4095	6992	003
D 	2022-02-04 23:19:47	  69 	c1937 	 2752 	 3579	    1	  682	  990	 1113	 1387	 4095	6990	003
D 	2022-02-04 23:20:47	  70 	c1937 	 2752 	 3581	    1	  682	  991	 1114	 1387	 4095	6994	003
D 	2022-02-04 23:21:47	  67 	c1937 	 2752 	 3579	    1	  683	  991	 1114	 1386	 4095	6990	002
D 	2022-02-04 23:22:47	  68 	c1937 	 2752 	 3576	    1	  683	  990	 1114	 1386	 4095	6984	002
D 	2022-02-04 23:23:47	  69 	c1937 	 2752 	 3579	    1	  683	  991	 1113	 1386	 4095	6990	002
D 	2022-02-04 23:24:47	  69 	c1937 	 2752 	 3579	    1	  683	  991	 1114	 1387	 4095	6990	003
D 	2022-02-04 23:25:47	  67 	c1937 	 2752 	 3578	    1	  682	  991	 1113	 1385	 4095	6988	002
D 	2022-02-04 23:26:47	  67 	c1937 	 2752 	 3579	    1	  683	  991	 1114	 1386	 4095	6990	002
D 	2022-02-04 23:27:47	  70 	c1937 	 2752 	 3579	    1	  682	  990	 1113	 1386	 4095	6990	002
D 	2022-02-04 23:28:47	  69 	c1937 	 2752 	 3578	    1	  682	  990	 1113	 1385	 4095	6988	002
D 	2022-02-04 23:29:47	  69 	c1937 	 2752 	 3578	    1	  683	  991	 1114	 1386	 4095	6988	002
D 	2022-02-04 23:30:47	  69 	c1937 	 2752 	 3576	    1	  682	  991	 1114	 1386	 4095	6984	002
D 	2022-02-04 23:31:47	  69 	c1937 	 2752 	 3578	    1	  683	  990	 1114	 1386	 4095	6988	002
D 	2022-02-04 23:32:47	  69 	c1937 	 2752 	 3578	    0	  682	  991	 1113	 1385	 4095	6988	002
D 	2022-02-04 23:33:47	  69 	c1937 	 2752 	 3577	    1	  683	  991	 1114	 1386	 4095	6986	002
D 	2022-02-04 23:34:47	  68 	c1937 	 2752 	 3577	    1	  683	  990	 1114	 1386	 4095	6986	002
D 	2022-02-04 23:35:47	  69 	c1937 	 2752 	 3579	    2	  686	  994	 1109	 1387	 4095	6990	003
D 	2022-02-04 23:36:47	  69 	c1937 	 2752 	 3577	    1	  683	  991	 1113	 1386	 4095	6986	002
D 	2022-02-04 23:37:47	  69 	c1937 	 2752 	 3576	    1	  682	  991	 1114	 1386	 4095	6984	002
D 	2022-02-04 23:38:47	  69 	c1937 	 2752 	 3577	    2	  686	  993	 1106	 1386	 4095	6986	002
D 	2022-02-04 23:39:47	  68 	c1937 	 2752 	 3578	    1	  683	  991	 1113	 1385	 4095	6988	002
D 	2022-02-04 23:40:47	  68 	c1937 	 2752 	 3577	    0	  683	  990	 1114	 1385	 4095	6986	002
D 	2022-02-04 23:41:47	  69 	c1937 	 2752 	 3576	    1	  683	  991	 1114	 1385	 4095	6984	002
D 	2022-02-04 23:42:47	  69 	c1937 	 2752 	 3578	    1	  682	  990	 1113	 1385	 4095	6988	002
D 	2022-02-04 23:43:47	  67 	c1937 	 2752 	 3577	    1	  683	  990	 1113	 1385	 4095	6986	002
D 	2022-02-04 23:44:47	  67 	c1937 	 2752 	 3577	    1	  682	  991	 1114	 1385	 4095	6986	002
D 	2022-02-04 23:45:47	  68 	c1937 	 2752 	 3576	    1	  682	  990	 1113	 1386	 4095	6984	002
D 	2022-02-04 23:46:47	  68 	c1937 	 2752 	 3575	    1	  683	  990	 1114	 1385	 4095	6982	002
D 	2022-02-04 23:47:47	  68 	c1937 	 2752 	 3575	    1	  682	  991	 1113	 1385	 4095	6982	002
D 	2022-02-04 23:48:47	  67 	c1937 	 2752 	 3575	    2	  686	  994	 1109	 1385	 4095	6982	002
D 	2022-02-04 23:49:47	  68 	c1937 	 2752 	 3575	    1	  683	  990	 1115	 1384	 4095	6982	002
D 	2022-02-04 23:50:47	  67 	c1937 	 2752 	 3576	    1	  683	  991	 1114	 1387	 4095	6984	003
D 	2022-02-04 23:51:47	  69 	c1937 	 2752 	 3576	    1	  682	  989	 1110	 1386	 4095	6984	002
D 	2022-02-04 23:52:47	  69 	c1937 	 2752 	 3575	    1	  683	  990	 1114	 1384	 4095	6982	002
D 	2022-02-04 23:53:47	  68 	c1937 	 2752 	 3575	    1	  683	  991	 1114	 1387	 4095	6982	003
D 	2022-02-04 23:54:47	  68 	c1937 	 2752 	 3575	    1	  683	  990	 1114	 1385	 4095	6982	002
D 	2022-02-04 23:55:47	  69 	c1937 	 2752 	 3575	    1	  683	  991	 1113	 1387	 4095	6982	003
D 	2022-02-04 23:56:47	  69 	c1937 	 2752 	 3576	    1	  683	  990	 1113	 1386	 4095	6984	002
D 	2022-02-04 23:57:47	  69 	c1937 	 2752 	 3575	    1	  682	  990	 1114	 1385	 4095	6982	002
D 	2022-02-04 23:58:47	  67 	c1937 	 2752 	 3574	    1	  683	  991	 1113	 1385	 4095	6980	002
D 	2022-02-04 23:59:47	  68 	c1937 	 2752 	 3574	    1	  683	  991	 1113	 1385	 4095	6980	002
D 	2022-02-05 00:00:47	  70 	c1937 	 2752 	 3574	    1	  683	  990	 1113	 1385	 4095	6980	002
D 	2022-02-05 00:01:47	  68 	c1937 	 2752 	 3574	    1	  682	  991	 1113	 1385	 4095	6980	002
D 	2022-02-05 00:02:47	  70 	c1937 	 2752 	 3574	    1	  683	  991	 1114	 1386	 4095	6980	002
D 	2022-02-05 00:03:47	  69 	c1937 	 2752 	 3575	    1	  684	  991	 1113	 1385	 4095	6982	002
D 	2022-02-05 00:04:47	  68 	c1937 	 2752 	 3573	    1	  683	  991	 1113	 1386	 4095	6978	002
D 	2022-02-05 00:05:47	  67 	c1937 	 2752 	 3574	    1	  683	  991	 1114	 1386	 4095	6980	002
D 	2022-02-05 00:06:47	  67 	c1937 	 2752 	 3575	    1	  682	  991	 1113	 1386	 4095	6982	002
D 	2022-02-05 00:07:47	  68 	c1937 	 2752 	 3573	    1	  683	  990	 1113	 1385	 4095	6978	002
T 	2022-02-05 00:07:49	 484 	c1937 	 2752 
S
D 	2022-02-05 00:08:47	  69 	c1937 	 2752 	 3573	    1	  683	  991	 1113	 1386	 4095	6978	002
D 	2022-02-05 00:09:47	  69 	c1937 	 2752 	 3573	    0	  682	  991	 1114	 1386	 4095	6978	002
D 	2022-02-05 00:10:47	  68 	c1937 	 2752 	 3573	    1	  683	  991	 1114	 1384	 4095	6978	002
D 	2022-02-05 00:11:47	  69 	c1937 	 2752 	 3573	    1	  683	  991	 1114	 1387	 4095	6978	003
D 	2022-02-05 00:12:47	  68 	c1937 	 2752 	 3572	    1	  683	  991	 1114	 1385	 4095	6976	002
D 	2022-02-05 00:13:47	  67 	c1937 	 2752 	 3569	    1	  683	  990	 1113	 1386	 4095	6970	002
D 	2022-02-05 00:14:47	  70 	c1937 	 2752 	 3572	    1	  682	  991	 1113	 1386	 4095	6976	002
D 	2022-02-05 00:15:47	  68 	c1937 	 2752 	 3572	    1	  683	  990	 1113	 1386	 4095	6976	002
D 	2022-02-05 00:16:47	  69 	c1937 	 2752 	 3573	    1	  683	  990	 1113	 1385	 4095	6978	002
D 	2022-02-05 00:17:47	  69 	c1937 	 2752 	 3569	    1	  683	  991	 1113	 1385	 4095	6970	002
D 	2022-02-05 00:18:47	  70 	c1937 	 2752 	 3572	    1	  683	  991	 1113	 1385	 4095	6976	002
D 	2022-02-05 00:19:47	  68 	c1937 	 2752 	 3571	    1	  682	  991	 1114	 1385	 4095	6974	002
D 	2022-02-05 00:20:47	  70 	c1937 	 2752 	 3571	    0	  683	  991	 1113	 1385	 4095	6974	002
D 	2022-02-05 00:21:47	  70 	c1937 	 2752 	 3572	    2	  685	  991	 1114	 1386	 4095	6976	002
D 	2022-02-05 00:22:47	  69 	c1937 	 2752 	 3568	    1	  682	  990	 1113	 1384	 4095	6968	002
D 	2022-02-05 00:23:47	  69 	c1937 	 2752 	 3571	    1	  683	  991	 1114	 1384	 4095	6974	002
D 	2022-02-05 00:24:47	  67 	c1937 	 2752 	 3571	    1	  683	  990	 1114	 1384	 4095	6974	002
D 	2022-02-05 00:25:47	  69 	c1937 	 2752 	 3570	    1	  683	  991	 1113	 1385	 4095	6972	002
D 	2022-02-05 00:26:47	  69 	c1937 	 2752 	 3571	    1	  683	  991	 1114	 1386	 4095	6974	002
D 	2022-02-05 00:27:47	  68 	c1937 	 2752 	 3572	    1	  683	  991	 1114	 1384	 4095	6976	002
D 	2022-02-05 00:28:47	  70 	c1937 	 2752 	 3569	    1	  682	  991	 1113	 1384	 4095	6970	002
D 	2022-02-05 00:29:47	  69 	c1937 	 2752 	 3571	    2	  685	  991	 1114	 1385	 4095	6974	002
D 	2022-02-05 00:30:47	  70 	c1937 	 2752 	 3567	    0	  682	  990	 1114	 1384	 4095	6966	002
D 	2022-02-05 00:31:47	  70 	c1937 	 2752 	 3571	    1	  682	  990	 1114	 1384	 4095	6974	002
D 	2022-02-05 00:32:47	  67 	c1937 	 2752 	 3570	    1	  683	  991	 1114	 1385	 4095	6972	002
D 	2022-02-05 00:33:47	  69 	c1937 	 2752 	 3570	    1	  683	  991	 1114	 1385	 4095	6972	002
D 	2022-02-05 00:34:47	  70 	c1937 	 2752 	 3567	    1	  683	  991	 1114	 1383	 4095	6966	002
D 	2022-02-05 00:35:47	  69 	c1937 	 2752 	 3571	    1	  683	  991	 1114	 1384	 4095	6974	002
D 	2022-02-05 00:36:47	  69 	c1937 	 2752 	 3570	    1	  682	  991	 1113	 1384	 4095	6972	002
D 	2022-02-05 00:37:47	  69 	c1937 	 2752 	 3569	    1	  682	  991	 1114	 1384	 4095	6970	002
D 	2022-02-05 00:38:47	  69 	c1937 	 2752 	 3571	    0	  682	  991	 1114	 1384	 4095	6974	002
D 	2022-02-05 00:39:47	  69 	c1937 	 2752 	 3569	    1	  683	  990	 1114	 1384	 4095	6970	002
D 	2022-02-05 00:40:47	  69 	c1937 	 2752 	 3568	    1	  683	  991	 1113	 1384	 4095	6968	002
D 	2022-02-05 00:41:47	  69 	c1937 	 2752 	 3567	    1	  683	  991	 1113	 1383	 4095	6966	002
D 	2022-02-05 00:42:47	  68 	c1937 	 2752 	 3569	    1	  683	  991	 1114	 1385	 4095	6970	002
D 	2022-02-05 00:43:47	  69 	c1937 	 2752 	 3570	    1	  683	  990	 1113	 1383	 4095	6972	002
D 	2022-02-05 00:44:47	  67 	c1937 	 2752 	 3569	    0	  683	  991	 1114	 1384	 4095	6970	002
D 	2022-02-05 00:45:47	  69 	c1937 	 2752 	 3569	    1	  682	  991	 1114	 1384	 4095	6970	002
D 	2022-02-05 00:46:47	  69 	c1937 	 2752 	 3568	    1	  683	  991	 1114	 1384	 4095	6968	002
D 	2022-02-05 00:47:47	  67 	c1937 	 2752 	 3566	    1	  682	  990	 1114	 1384	 4095	6964	002
D 	2022-02-05 00:48:47	  68 	c1937 	 2752 	 3568	    1	  682	  992	 1106	 1383	 4095	6968	002
D 	2022-02-05 00:49:47	  68 	c1937 	 2752 	 3568	    1	  683	  990	 1114	 1385	 4095	6968	002
D 	2022-02-05 00:50:47	  70 	c1937 	 2752 	 3567	    0	  683	  991	 1114	 1384	 4095	6966	002
D 	2022-02-05 00:51:47	  69 	c1937 	 2752 	 3565	    0	  682	  991	 1113	 1383	 4095	6962	002
D 	2022-02-05 00:52:47	  70 	c1937 	 2752 	 3567	    1	  682	  990	 1113	 1383	 4095	6966	002
D 	2022-02-05 00:53:47	  69 	c1937 	 2752 	 3567	    1	  682	  990	 1114	 1382	 4095	6966	002
D 	2022-02-05 00:54:47	  69 	c1937 	 2752 	 3568	    1	  683	  991	 1114	 1385	 4095	6968	002
D 	2022-02-05 00:55:47	  68 	c1937 	 2752 	 3566	    1	  683	  991	 1114	 1383	 4095	6964	002
D 	2022-02-05 00:56:47	  69 	c1937 	 2752 	 3567	    1	  682	  991	 1114	 1384	 4095	6966	002
D 	2022-02-05 00:57:47	  68 	c1937 	 2752 	 3566	    1	  682	  991	 1114	 1384	 4095	6964	002
D 	2022-02-05 00:58:47	  69 	c1937 	 2752 	 3567	    1	  683	  991	 1115	 1384	 4095	6966	002
D 	2022-02-05 00:59:47	  69 	c1937 	 2752 	 3567	    1	  683	  990	 1114	 1383	 4095	6966	002
D 	2022-02-05 01:00:47	  69 	c1937 	 2752 	 3567	    0	  683	  991	 1114	 1384	 4095	6966	002
D 	2022-02-05 01:01:47	  68 	c1937 	 2752 	 3566	    1	  682	  991	 1113	 1383	 4095	6964	002
D 	2022-02-05 01:02:47	  68 	c1937 	 2752 	 3566	    1	  683	  991	 1114	 1384	 4095	6964	002
D 	2022-02-05 01:03:47	  67 	c1937 	 2752 	 3566	    0	  683	  991	 1114	 1384	 4095	6964	002
D 	2022-02-05 01:04:47	  68 	c1937 	 2752 	 3566	    1	  683	  990	 1114	 1383	 4095	6964	002
D 	2022-02-05 01:05:47	  69 	c1937 	 2752 	 3567	    1	  683	  991	 1114	 1384	 4095	6966	002
D 	2022-02-05 01:06:47	  70 	c1937 	 2752 	 3566	    1	  683	  991	 1114	 1384	 4095	6964	002
D 	2022-02-05 01:07:47	  68 	c1937 	 2752 	 3567	    1	  683	  991	 1114	 1383	 4095	6966	002
D 	2022-02-05 01:08:47	  70 	c1937 	 2752 	 3566	    0	  683	  991	 1113	 1383	 4095	6964	002
D 	2022-02-05 01:09:47	  69 	c1937 	 2752 	 3565	    0	  682	  991	 1113	 1384	 4095	6962	002
D 	2022-02-05 01:10:47	  69 	c1937 	 2752 	 3565	    1	  683	  991	 1113	 1384	 4095	6962	002
D 	2022-02-05 01:11:47	  67 	c1937 	 2752 	 3566	    1	  683	  990	 1113	 1384	 4095	6964	002
D 	2022-02-05 01:12:47	  69 	c1937 	 2752 	 3565	    1	  682	  991	 1114	 1383	 4095	6962	002
D 	2022-02-05 01:13:47	  69 	c1937 	 2752 	 3565	    1	  682	  990	 1112	 1383	 4095	6962	002
D 	2022-02-05 01:14:47	  69 	c1937 	 2752 	 3563	    1	  682	  991	 1113	 1383	 4095	6958	002
D 	2022-02-05 01:15:47	  67 	c1937 	 2752 	 3565	    1	  682	  990	 1114	 1382	 4095	6962	002
D 	2022-02-05 01:16:47	  69 	c1937 	 2752 	 3564	    1	  682	  990	 1113	 1384	 4095	6960	002
D 	2022-02-05 01:17:47	  68 	c1937 	 2752 	 3566	    1	  682	  991	 1114	 1383	 4095	6964	002
D 	2022-02-05 01:18:47	  67 	c1937 	 2752 	 3564	    1	  683	  991	 1114	 1383	 4095	6960	002
D 	2022-02-05 01:19:47	  69 	c1937 	 2752 	 3563	    1	  682	  991	 1114	 1383	 4095	6958	002
D 	2022-02-05 01:20:47	  69 	c1937 	 2752 	 3564	    1	  682	  991	 1113	 1383	 4095	6960	002
D 	2022-02-05 01:21:47	  68 	c1937 	 2752 	 3563	    1	  682	  990	 1113	 1383	 4095	6958	002
D 	2022-02-05 01:22:47	  69 	c1937 	 2752 	 3563	    0	  683	  990	 1113	 1383	 4095	6958	002
D 	2022-02-05 01:23:47	  69 	c1937 	 2752 	 3563	    1	  683	  991	 1114	 1383	 4095	6958	002
D 	2022-02-05 01:24:47	  68 	c1937 	 2752 	 3564	    1	  683	  991	 1114	 1383	 4095	6960	002
D 	2022-02-05 01:25:47	  68 	c1937 	 2752 	 3561	    1	  682	  991	 1114	 1383	 4095	6955	002
D 	2022-02-05 01:26:47	  68 	c1937 	 2752 	 3563	    1	  683	  991	 1114	 1385	 4095	6958	002
D 	2022-02-05 01:27:47	  69 	c1937 	 2752 	 3562	    2	  686	  994	 1109	 1383	 4095	6957	002
D 	2022-02-05 01:28:47	  68 	c1937 	 2752 	 3562	    1	  682	  991	 1114	 1383	 4095	6957	002
T 	2022-02-05 01:28:49	 511 	c1937 	 2752 
S
D 	2022-02-05 01:29:47	  69 	c1937 	 2752 	 3563	    1	  682	  991	 1113	 1384	 4095	6958	002
D 	2022-02-05 01:30:47	  70 	c1937 	 2752 	 3560	    1	  683	  990	 1113	 1384	 4095	6953	002
D 	2022-02-05 01:31:47	  66 	c1937 	 2752 	 3561	    1	  683	  991	 1113	 1384	 4095	6955	002
D 	2022-02-05 01:32:47	  66 	c1937 	 2752 	 3562	    1	  682	  990	 1114	 1383	 4095	6957	002
D 	2022-02-05 01:33:47	  69 	c1937 	 2752 	 3561	    1	  682	  990	 1114	 1384	 4095	6955	002
D 	2022-02-05 01:34:47	  69 	c1937 	 2752 	 3561	    1	  682	  990	 1113	 1383	 4095	6955	002
D 	2022-02-05 01:35:47	  70 	c1937 	 2752 	 3559	    0	  683	  990	 1114	 1383	 4095	6951	002
D 	2022-02-05 01:36:47	  67 	c1937 	 2752 	 3561	    1	  683	  991	 1114	 1384	 4095	6955	002
D 	2022-02-05 01:37:47	  68 	c1937 	 2752 	 3561	    1	  682	  991	 1113	 1383	 4095	6955	002
D 	2022-02-05 01:38:47	  69 	c1937 	 2752 	 3559	    0	  683	  991	 1114	 1381	 4095	6951	001
D 	2022-02-05 01:39:47	  68 	c1937 	 2752 	 3560	    0	  683	  991	 1114	 1384	 4095	6953	002
D 	2022-02-05 01:40:47	  69 	c1937 	 2752 	 3560	    1	  683	  990	 1113	 1383	 4095	6953	002
D 	2022-02-05 01:41:47	  69 	c1937 	 2752 	 3560	    1	  683	  991	 1113	 1383	 4095	6953	002
D 	2022-02-05 01:42:47	  68 	c1937 	 2752 	 3559	    1	  682	  991	 1113	 1382	 4095	6951	002
D 	2022-02-05 01:43:47	  67 	c1937 	 2752 	 3561	    1	  683	  990	 1113	 1383	 4095	6955	002
D 	2022-02-05 01:44:47	  68 	c1937 	 2752 	 3560	    1	  683	  991	 1113	 1382	 4095	6953	002
D 	2022-02-05 01:45:47	  69 	c1937 	 2752 	 3561	    1	  683	  990	 1113	 1383	 4095	6955	002
D 	2022-02-05 01:46:47	  69 	c1937 	 2752 	 3560	    1	  682	  991	 1114	 1382	 4095	6953	002
D 	2022-02-05 01:47:47	  68 	c1937 	 2752 	 3559	    1	  683	  991	 1113	 1383	 4095	6951	002
D 	2022-02-05 01:48:47	  67 	c1937 	 2752 	 3561	    0	  682	  990	 1114	 1384	 4095	6955	002
D 	2022-02-05 01:49:47	  67 	c1937 	 2752 	 3559	    1	  682	  990	 1113	 1383	 4095	6951	002
D 	2022-02-05 01:50:47	  70 	c1937 	 2752 	 3560	    1	  682	  990	 1113	 1384	 4095	6953	002
D 	2022-02-05 01:51:47	  68 	c1937 	 2752 	 3556	    1	  683	  990	 1113	 1382	 4095	6945	002
