F 	Date            	Hmsec 	ID   	Event 	State 	Rule 	IDHere 	ListAHere 	ListBHere 	ListEHere  	IDThere
D 	2022-02-04 12:21:55	 119 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 12:22:39	 218 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 12:56:59	 965 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 12:57:48	 342 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 12:57:54	 243 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 12:58:01	 418 	c1931 	15601 	c 	8 	9ECD 	0 	0 	0  	0000  
D 	2022-02-04 13:02:28	 345 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 13:02:42	 141 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 13:02:51	 667 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
T 	2022-02-04 13:03:03	 873 	c1931 	15601 
S
D 	2022-02-04 13:03:07	 515 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 13:03:09	  18 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 13:03:44	 291 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 14:11:35	 450 	c1931 	15601 
S
D 	2022-02-04 15:04:26	 892 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 15:05:10	 525 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-04 15:05:21	 818 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-04 15:06:40	 589 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 15:16:35	 446 	c1931 	15601 
S
D 	2022-02-04 16:10:53	  66 	c1931 	15601 	o 	8 	3BED 	2 	0 	0  	3F92  
D 	2022-02-04 16:13:29	 766 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 16:20:35	 567 	c1931 	15601 
S
D 	2022-02-04 16:53:44	 245 	c1931 	15601 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-04 17:33:04	 815 	c1931 	15601 
S
D 	2022-02-05 08:01:55	 517 	c1931 	15602 	c 	8 	7DB1 	0 	0 	0  	0000  
D 	2022-02-05 08:11:02	 591 	c1931 	15603 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 08:11:39	 366 	c1931 	15603 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 08:11:39	 366 	c1931 	15603 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-05 08:17:35	 259 	c1931 	15603 
S
D 	2022-02-05 08:34:14	 841 	c1931 	15604 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 09:14:10	 693 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 09:14:20	 639 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 09:15:00	 145 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 09:15:17	1018 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 09:16:06	 592 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 09:16:16	 494 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 09:19:28	 988 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
T 	2022-02-05 09:19:36	 863 	c1931 	15605 
S
D 	2022-02-05 09:19:41	 617 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 10:06:29	 315 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 10:06:42	 343 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 10:07:08	 190 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 10:07:57	 718 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 10:08:07	 318 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 10:08:29	 264 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-05 10:18:04	 284 	c1931 	15605 
S
D 	2022-02-05 10:41:41	 669 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 10:41:56	 443 	c1931 	15605 	c 	8 	9ECD 	0 	0 	0  	0000  
D 	2022-02-05 10:42:48	 840 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 10:42:59	 718 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 10:43:02	 840 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 10:43:32	 139 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 11:01:59	 117 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 11:02:42	 502 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 11:02:51	 568 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 11:04:14	 589 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-05 11:06:05	 528 	c1931 	15605 
S
D 	2022-02-05 11:41:06	 590 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 11:41:08	  92 	c1931 	15605 	c 	8 	9ECD 	0 	0 	0  	0000  
T 	2022-02-05 12:20:35	 356 	c1931 	15605 
S
D 	2022-02-05 12:44:00	 141 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 12:44:12	 191 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 12:45:04	 393 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 12:45:13	 864 	c1931 	15605 	c 	8 	C958 	0 	0 	0  	0000  
D 	2022-02-05 12:46:28	 891 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 12:46:31	 919 	c1931 	15605 	c 	8 	9ECD 	0 	0 	0  	0000  
T 	2022-02-05 13:26:04	 580 	c1931 	15605 
S
D 	2022-02-05 14:28:48	 393 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 14:28:59	 116 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 14:29:16	 242 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 14:30:20	 892 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 14:30:25	 165 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
T 	2022-02-05 14:30:43	 776 	c1931 	15605 
S
D 	2022-02-05 14:30:51	 117 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
D 	2022-02-05 14:31:55	 769 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 14:32:07	 118 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
T 	2022-02-05 15:45:35	 510 	c1931 	15605 
S
D 	2022-02-05 15:57:42	 893 	c1931 	15605 	o 	8 	3BED 	2 	0 	0  	0000  
D 	2022-02-05 15:57:57	 367 	c1931 	15605 	c 	8 	0000 	0 	0 	0  	0000  
