F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-07 10:35:39	 100 	c1937 	 2860 	u   	d    	361891 	  268
D 	2022-02-07 10:35:39	 150 	c1937 	 2860 	u   	d    	361891 	  268
D 	2022-02-07 10:35:40	  11 	c1937 	 2860 	d   	u    	249160 	   -9
D 	2022-02-07 10:35:40	 199 	c1937 	 2861 	u   	d    	387309 	  331
D 	2022-02-07 10:35:40	 248 	c1937 	 2861 	u   	d    	387309 	  331
D 	2022-02-07 10:35:40	 298 	c1937 	 2861 	u   	d    	387309 	  331
D 	2022-02-07 10:35:40	 348 	c1937 	 2861 	u   	d    	387309 	  331
D 	2022-02-07 10:35:40	 924 	c1937 	 2861 	d   	u    	213177 	  -98
D 	2022-02-07 10:35:41	  91 	c1937 	 2862 	u   	d    	374201 	  299
D 	2022-02-07 10:35:41	 139 	c1937 	 2862 	u   	d    	374201 	  299
D 	2022-02-07 10:35:41	 189 	c1937 	 2862 	u   	d    	374201 	  299
D 	2022-02-07 10:35:41	 239 	c1937 	 2862 	u   	d    	374201 	  299
D 	2022-02-07 10:35:41	 369 	c1937 	 2862 	d   	u    	261074 	   19
T 	2022-02-07 10:35:41	 532 	c1937 	 2862 
S
D 	2022-02-07 10:35:41	 656 	c1937 	 2863 	u   	d    	318538 	  161
D 	2022-02-07 10:35:41	 705 	c1937 	 2863 	u   	d    	318538 	  161
D 	2022-02-07 10:35:41	 755 	c1937 	 2863 	u   	d    	318538 	  161
D 	2022-02-07 10:35:41	 805 	c1937 	 2863 	u   	d    	318538 	  161
D 	2022-02-07 10:35:42	 341 	c1937 	 2863 	d   	u    	261250 	   20
D 	2022-02-07 10:36:02	 487 	c1937 	 2864 	u   	d    	355090 	  252
D 	2022-02-07 10:36:02	 535 	c1937 	 2864 	u   	d    	355090 	  252
D 	2022-02-07 10:36:02	 585 	c1937 	 2864 	u   	d    	355090 	  252
D 	2022-02-07 10:36:02	 635 	c1937 	 2864 	u   	d    	355090 	  252
D 	2022-02-07 10:36:03	  13 	c1937 	 2864 	d   	u    	265167 	   29
D 	2022-02-07 10:36:03	 707 	c1937 	 2865 	u   	d    	334446 	  201
D 	2022-02-07 10:36:03	 755 	c1937 	 2865 	u   	d    	334446 	  201
D 	2022-02-07 10:36:03	 805 	c1937 	 2865 	u   	d    	334446 	  201
D 	2022-02-07 10:36:03	 855 	c1937 	 2865 	u   	d    	334446 	  201
D 	2022-02-07 10:36:03	1007 	c1937 	 2865 	d   	u    	174547 	 -194
D 	2022-02-07 10:36:04	 483 	c1937 	 2866 	u   	d    	308265 	  136
D 	2022-02-07 10:36:04	 531 	c1937 	 2866 	u   	d    	308265 	  136
D 	2022-02-07 10:36:04	 581 	c1937 	 2866 	u   	d    	308265 	  136
D 	2022-02-07 10:36:04	 631 	c1937 	 2866 	u   	d    	308265 	  136
D 	2022-02-07 10:36:04	 933 	c1937 	 2866 	d   	u    	241660 	  -28
D 	2022-02-07 10:38:50	 585 	c1937 	 2867 	u   	d    	297121 	  108
D 	2022-02-07 10:38:50	 633 	c1937 	 2867 	u   	d    	297121 	  108
D 	2022-02-07 10:38:50	 683 	c1937 	 2867 	u   	d    	297121 	  108
D 	2022-02-07 10:38:50	 733 	c1937 	 2867 	u   	d    	297121 	  108
D 	2022-02-07 10:38:50	 785 	c1937 	 2867 	d   	u    	261441 	   20
D 	2022-02-07 10:38:51	 261 	c1937 	 2868 	u   	d    	306585 	  132
D 	2022-02-07 10:38:51	 309 	c1937 	 2868 	u   	d    	306585 	  132
D 	2022-02-07 10:38:51	 359 	c1937 	 2868 	u   	d    	306585 	  132
D 	2022-02-07 10:38:51	 409 	c1937 	 2868 	u   	d    	306585 	  132
D 	2022-02-07 10:38:52	 187 	c1937 	 2868 	d   	u    	258559 	   13
D 	2022-02-07 10:46:37	 660 	c1937 	 2869 	u   	d    	446765 	  478
D 	2022-02-07 10:46:37	 709 	c1937 	 2869 	u   	d    	446765 	  478
D 	2022-02-07 10:46:37	 759 	c1937 	 2869 	u   	d    	446765 	  478
D 	2022-02-07 10:46:37	 809 	c1937 	 2869 	u   	d    	446765 	  478
D 	2022-02-07 10:46:38	 636 	c1937 	 2869 	d   	u    	-29585 	 -698
D 	2022-02-07 10:46:46	 231 	c1937 	 2870 	u   	d    	350741 	  241
D 	2022-02-07 10:46:46	 279 	c1937 	 2870 	u   	d    	350741 	  241
D 	2022-02-07 10:46:46	 329 	c1937 	 2870 	u   	d    	350741 	  241
D 	2022-02-07 10:46:46	 379 	c1937 	 2870 	u   	d    	350741 	  241
D 	2022-02-07 10:46:47	   7 	c1937 	 2870 	d   	u    	209633 	 -107
D 	2022-02-07 10:46:47	 307 	c1937 	 2871 	u   	d    	329031 	  187
D 	2022-02-07 10:46:47	 355 	c1937 	 2871 	u   	d    	329031 	  187
D 	2022-02-07 10:46:47	 405 	c1937 	 2871 	u   	d    	329031 	  187
D 	2022-02-07 10:46:47	 455 	c1937 	 2871 	u   	d    	329031 	  187
D 	2022-02-07 10:46:47	 807 	c1937 	 2871 	d   	u    	257753 	   11
D 	2022-02-07 10:46:48	 633 	c1937 	 2872 	u   	d    	328233 	  185
D 	2022-02-07 10:46:48	 681 	c1937 	 2872 	u   	d    	328233 	  185
D 	2022-02-07 10:46:48	 731 	c1937 	 2872 	u   	d    	328233 	  185
D 	2022-02-07 10:46:48	 781 	c1937 	 2872 	u   	d    	328233 	  185
D 	2022-02-07 10:46:50	 185 	c1937 	 2872 	d   	u    	263404 	   25
D 	2022-02-07 10:46:50	 385 	c1937 	 2873 	u   	d    	370515 	  290
D 	2022-02-07 10:46:50	 433 	c1937 	 2873 	u   	d    	370515 	  290
D 	2022-02-07 10:46:50	 483 	c1937 	 2873 	u   	d    	370515 	  290
D 	2022-02-07 10:46:50	 533 	c1937 	 2873 	u   	d    	370515 	  290
D 	2022-02-07 10:46:50	 635 	c1937 	 2873 	d   	u    	190715 	 -154
D 	2022-02-07 10:46:58	 485 	c1937 	 2874 	u   	d    	289213 	   89
D 	2022-02-07 10:46:58	 534 	c1937 	 2874 	u   	d    	289213 	   89
D 	2022-02-07 10:46:58	 584 	c1937 	 2874 	u   	d    	289213 	   89
D 	2022-02-07 10:46:58	 634 	c1937 	 2874 	u   	d    	289213 	   89
D 	2022-02-07 10:46:58	 875 	c1937 	 2874 	d   	u    	195599 	 -142
T 	2022-02-07 10:47:01	 297 	c1937 	 2874 
S
D 	2022-02-07 10:47:01	 459 	c1937 	 2875 	u   	d    	317877 	  160
D 	2022-02-07 10:47:01	 508 	c1937 	 2875 	u   	d    	317877 	  160
D 	2022-02-07 10:47:01	 558 	c1937 	 2875 	u   	d    	317877 	  160
D 	2022-02-07 10:47:01	 608 	c1937 	 2875 	u   	d    	317877 	  160
D 	2022-02-07 10:47:01	 927 	c1937 	 2875 	d   	u    	195893 	 -141
D 	2022-02-07 10:47:10	 585 	c1937 	 2876 	u   	d    	339804 	  214
D 	2022-02-07 10:47:10	 633 	c1937 	 2876 	u   	d    	339804 	  214
D 	2022-02-07 10:47:10	 683 	c1937 	 2876 	u   	d    	339804 	  214
D 	2022-02-07 10:47:10	 733 	c1937 	 2876 	u   	d    	339804 	  214
D 	2022-02-07 10:47:10	 785 	c1937 	 2876 	d   	u    	127611 	 -310
D 	2022-02-07 10:47:12	 487 	c1937 	 2877 	u   	d    	303706 	  125
D 	2022-02-07 10:47:12	 535 	c1937 	 2877 	u   	d    	303706 	  125
D 	2022-02-07 10:47:12	 585 	c1937 	 2877 	u   	d    	303706 	  125
D 	2022-02-07 10:47:12	 635 	c1937 	 2877 	u   	d    	303706 	  125
D 	2022-02-07 10:47:12	 687 	c1937 	 2877 	d   	u    	199083 	 -133
D 	2022-02-07 10:48:16	 733 	c1937 	 2878 	u   	d    	571157 	  786
D 	2022-02-07 10:48:16	 781 	c1937 	 2878 	u   	d    	571157 	  786
D 	2022-02-07 10:48:16	 831 	c1937 	 2878 	u   	d    	571157 	  786
D 	2022-02-07 10:48:16	 881 	c1937 	 2878 	u   	d    	571157 	  786
D 	2022-02-07 10:48:22	  33 	c1937 	 2878 	d   	u    	-70307 	 -799
D 	2022-02-07 10:48:22	 633 	c1937 	 2879 	u   	d    	358208 	  259
D 	2022-02-07 10:48:22	 682 	c1937 	 2879 	u   	d    	358208 	  259
D 	2022-02-07 10:48:22	 732 	c1937 	 2879 	u   	d    	358208 	  259
D 	2022-02-07 10:48:22	 782 	c1937 	 2879 	u   	d    	358208 	  259
D 	2022-02-07 10:48:23	 109 	c1937 	 2879 	d   	u    	-193732 	-1104
D 	2022-02-07 10:48:23	 309 	c1937 	 2880 	u   	d    	386301 	  329
D 	2022-02-07 10:48:23	 358 	c1937 	 2880 	u   	d    	386301 	  329
D 	2022-02-07 10:48:23	 408 	c1937 	 2880 	u   	d    	386301 	  329
D 	2022-02-07 10:48:23	 458 	c1937 	 2880 	u   	d    	386301 	  329
D 	2022-02-07 10:48:23	 709 	c1937 	 2880 	d   	u    	236279 	  -41
D 	2022-02-07 10:48:23	 809 	c1937 	 2881 	u   	d    	483426 	  569
D 	2022-02-07 10:48:23	 858 	c1937 	 2881 	u   	d    	483426 	  569
D 	2022-02-07 10:48:23	 908 	c1937 	 2881 	u   	d    	483426 	  569
D 	2022-02-07 10:48:23	 958 	c1937 	 2881 	u   	d    	483426 	  569
D 	2022-02-07 10:48:23	1009 	c1937 	 2881 	d   	u    	193461 	 -147
D 	2022-02-07 10:48:38	 586 	c1937 	 2882 	u   	d    	487252 	  578
D 	2022-02-07 10:48:38	 634 	c1937 	 2882 	u   	d    	487252 	  578
D 	2022-02-07 10:48:38	 684 	c1937 	 2882 	u   	d    	487252 	  578
D 	2022-02-07 10:48:38	 734 	c1937 	 2882 	u   	d    	487252 	  578
D 	2022-02-07 10:48:44	 435 	c1937 	 2882 	d   	u    	153396 	 -246
D 	2022-02-07 10:48:44	 585 	c1937 	 2883 	u   	d    	754349 	 1239
D 	2022-02-07 10:48:44	 634 	c1937 	 2883 	u   	d    	754349 	 1239
D 	2022-02-07 10:48:44	 684 	c1937 	 2883 	u   	d    	754349 	 1239
D 	2022-02-07 10:48:44	 734 	c1937 	 2883 	u   	d    	754349 	 1239
D 	2022-02-07 10:48:47	 257 	c1937 	 2883 	d   	u    	212483 	 -100
