"TagID_hex"	"learningPhase"	"criterion"	"btoRingType"	"btoID"	"species"	"age"	"sex"	"wing"	"weight"
"01103FE611"	"RL1"	28	"N"	"ABR6036"	"GT"	3	"M"	76	18.6
"01103FE684"	"IL"	21	"N"	"ABR6031"	"GT"	4	"M"	78	19.7
"01103FE684"	"RL1"	NA	"N"	"ABR6031"	"GT"	4	"M"	78	19.7
"01103FE684"	"RL2"	21	"N"	"ABR6031"	"GT"	4	"M"	78	19.7
"3B001830A3"	"IL"	23	"N"	"ABR6360"	"BT"	3	"M"	66	10.7
"3B001830A3"	"RL1"	92	"N"	"ABR6360"	"BT"	3	"M"	66	10.7
"3B001830A3"	"RL2"	33	"N"	"ABR6360"	"BT"	3	"M"	66	10.7
"3B00183C07"	"RL2"	60	"N"	"ABR6049"	"GT"	3	"F"	74	16.6
"3B0018489F"	"IL"	20	"N"	"ABR6273"	"GT"	3	"F"	74	17.4
"3B0018489F"	"RL1"	NA	"N"	"ABR6273"	"GT"	3	"F"	74	17.4
"3B0018489F"	"RL2"	21	"N"	"ABR6273"	"GT"	3	"F"	74	17.4
"3B001856B3"	"IL"	20	"N"	"ABR6030"	"BT"	3	"U"	64	10.5
"3B001856B3"	"RL1"	78	"N"	"ABR6030"	"BT"	3	"U"	64	10.5
"3B001856B3"	"RL2"	26	"N"	"ABR6030"	"BT"	3	"U"	64	10.5
"3B00185D64"	"IL"	38	"N"	"ABR6077"	"BT"	3	"F"	60	9.8
"3B00185D64"	"RL1"	53	"N"	"ABR6077"	"BT"	3	"F"	60	9.8
"3B00185D64"	"RL2"	24	"N"	"ABR6077"	"BT"	3	"F"	60	9.8
"3B00185FBF"	"IL"	20	"N"	"ABR6046"	"GT"	4	"M"	78	19.5
"3B00185FBF"	"RL1"	NA	"N"	"ABR6046"	"GT"	4	"M"	78	19.5
"3B0018631C"	"RL1"	36	"R"	"ABR6488"	"GT"	4	"M"	78	19.5
"3B0018649A"	"RL1"	NA	"N"	"ABR6469"	"GT"	3	"F"	71	18
"3B0018649A"	"RL2"	26	"N"	"ABR6469"	"GT"	3	"F"	71	18
"3B001865FB"	"IL"	20	"N"	"ABR6040"	"GT"	3	"M"	77	18.9
"3B001865FB"	"RL1"	68	"N"	"ABR6040"	"GT"	3	"M"	77	18.9
"3B001865FB"	"RL2"	21	"N"	"ABR6040"	"GT"	3	"M"	77	18.9
"3B00186ACE"	"IL"	20	"N"	"ABR6522"	"BT"	3	"M"	62	10.7
"3B00186C8D"	"IL"	20	"N"	"ABR6493"	"GT"	3	"M"	71	19.7
"3B00186C8D"	"RL1"	85	"N"	"ABR6493"	"GT"	3	"M"	71	19.7
"3B00186C8D"	"RL2"	69	"N"	"ABR6493"	"GT"	3	"M"	71	19.7
"3B00186CB0"	"RL1"	23	"N"	"ABR6314"	"GT"	5	"F"	74	17.1
"3B00186CB0"	"RL2"	25	"N"	"ABR6314"	"GT"	5	"F"	74	17.1
"3B00187234"	"IL"	20	"N"	"ABR6518"	"BT"	4	"M"	63	10.7
"3B00187234"	"RL1"	38	"N"	"ABR6518"	"BT"	4	"M"	63	10.7
"3B00187234"	"RL2"	22	"N"	"ABR6518"	"BT"	4	"M"	63	10.7
"3B00187503"	"IL"	115	"N"	"ABR6618"	"BT"	3	"F"	61	11
"3B00187503"	"RL1"	119	"N"	"ABR6618"	"BT"	3	"F"	61	11
"3B00187503"	"RL2"	65	"N"	"ABR6618"	"BT"	3	"F"	61	11
"3B00187CB5"	"RL1"	NA	"N"	"ABR6490"	"BT"	3	"M"	66	11.3
"3B00187CB5"	"RL2"	25	"N"	"ABR6490"	"BT"	3	"M"	66	11.3
"3B001881AF"	"RL2"	20	"N"	"ABR6109"	"BT"	3	"M"	65	11.6
"3B0018831D"	"IL"	20	"R"	"AJT8641"	"BT"	4	"F"	58	9.6
"3B00188A58"	"IL"	29	"N"	"ABR6378"	"BT"	4	"M"	65	10.9
"3B00188A58"	"RL1"	119	"N"	"ABR6378"	"BT"	4	"M"	65	10.9
"3B00188A58"	"RL2"	46	"N"	"ABR6378"	"BT"	4	"M"	65	10.9
"3B00188B8C"	"IL"	20	"R"	"ACX2433"	"BT"	4	"M"	66	11.1
"3B00188B8C"	"RL1"	172	"R"	"ACX2433"	"BT"	4	"M"	66	11.1
"3B00188B8C"	"RL2"	57	"R"	"ACX2433"	"BT"	4	"M"	66	11.1
"3B0018947C"	"IL"	54	"N"	"ABR6065"	"BT"	3	"U"	65	11
"3B0018947C"	"RL1"	30	"N"	"ABR6065"	"BT"	3	"U"	65	11
"3B0018947C"	"RL2"	20	"N"	"ABR6065"	"BT"	3	"U"	65	11
"3B0018953F"	"IL"	20	"N"	"ABR6100"	"GT"	4	"M"	77	19.7
"3B0018953F"	"RL1"	42	"N"	"ABR6100"	"GT"	4	"M"	77	19.7
"3B0018A1CD"	"IL"	28	"N"	"ABR6315"	"BT"	5	"M"	62	10.8
"3B0018A1CD"	"RL1"	NA	"N"	"ABR6315"	"BT"	5	"M"	62	10.8
"3B0018A1CD"	"RL2"	21	"N"	"ABR6315"	"BT"	5	"M"	62	10.8
"3B0018A49A"	"IL"	24	"N"	"ABR6316"	"GT"	5	"F"	73	17.9
"3B0018A49A"	"RL1"	34	"N"	"ABR6316"	"GT"	5	"F"	73	17.9
"3B0018A49A"	"RL2"	32	"N"	"ABR6316"	"GT"	5	"F"	73	17.9
"3B0018A886"	"RL1"	20	"N"	"ABR6616"	"BT"	3	"F"	61	11
"3B0018ACF3"	"IL"	NA	"N"	"ABR6401"	"GT"	3	"M"	76	18.5
"3B0018B25F"	"RL1"	NA	"N"	"ABR6425"	"GT"	3	"F"	73	18.6
"3B0018B25F"	"RL2"	22	"N"	"ABR6425"	"GT"	3	"F"	73	18.6
"3B0018B567"	"IL"	20	"N"	"ABR6476"	"GT"	3	"M"	78	19.9
"3B0018B567"	"RL1"	33	"N"	"ABR6476"	"GT"	3	"M"	78	19.9
"3B0018B567"	"RL2"	37	"N"	"ABR6476"	"GT"	3	"M"	78	19.9
"3B0018B65C"	"IL"	20	"N"	"ABR6672"	"BT"	3	"M"	63	10.7
"3B0018B65C"	"RL1"	NA	"N"	"ABR6672"	"BT"	3	"M"	63	10.7
"3B0018B65C"	"RL2"	40	"N"	"ABR6672"	"BT"	3	"M"	63	10.7
"3B0018B66C"	"IL"	23	"N"	"ABR6356"	"BT"	3	"M"	65	10.3
"3B0018B66C"	"RL1"	69	"N"	"ABR6356"	"BT"	3	"M"	65	10.3
"3B0018B66C"	"RL2"	31	"N"	"ABR6356"	"BT"	3	"M"	65	10.3
"3B0018BB04"	"RL1"	NA	"N"	"ABR6261"	"GT"	3	"M"	77	18.3
"3B0018BF1C"	"IL"	20	"N"	"ABR6472"	"GT"	3	"M"	77	19.2
"3B0018BF1C"	"RL1"	35	"N"	"ABR6472"	"GT"	3	"M"	77	19.2
"3B0018BF1C"	"RL2"	43	"N"	"ABR6472"	"GT"	3	"M"	77	19.2
"3B0018C327"	"IL"	20	"R"	"ABR7016"	"GT"	4	"M"	77	20.6
"3B0018C327"	"RL1"	39	"R"	"ABR7016"	"GT"	4	"M"	77	20.6
"3B0018C327"	"RL2"	34	"R"	"ABR7016"	"GT"	4	"M"	77	20.6
"3B0018C8DF"	"IL"	20	"N"	"ABR6370"	"BT"	3	"F"	60	9.6
"3B0018C8DF"	"RL1"	NA	"N"	"ABR6370"	"BT"	3	"F"	60	9.6
"3B0018CC1F"	"IL"	20	"N"	"ABR6112"	"GT"	3	"F"	74	17
"3B0018CC1F"	"RL1"	115	"N"	"ABR6112"	"GT"	3	"F"	74	17
"3B0018CC1F"	"RL2"	46	"N"	"ABR6112"	"GT"	3	"F"	74	17
"3B0018CF2B"	"IL"	20	"R"	"TT05127"	"GT"	3	"M"	77	19.6
"3B0018CF2B"	"RL1"	NA	"R"	"TT05127"	"GT"	3	"M"	77	19.6
"3B0018CF2B"	"RL2"	26	"R"	"TT05127"	"GT"	3	"M"	77	19.6
"3B0018D222"	"IL"	20	"N"	"ABR6072"	"BT"	3	"F"	62	10
"3B0018D222"	"RL1"	63	"N"	"ABR6072"	"BT"	3	"F"	62	10
"3B0018D222"	"RL2"	241	"N"	"ABR6072"	"BT"	3	"F"	62	10
"3B0018E70A"	"IL"	20	"N"	"ABR6514"	"BT"	4	"F"	64	11.6
"3B0018E70A"	"RL1"	212	"N"	"ABR6514"	"BT"	4	"F"	64	11.6
"3B0018E70A"	"RL2"	NA	"N"	"ABR6514"	"BT"	4	"F"	64	11.6
"3B0018E8B5"	"IL"	35	"N"	"ABR6117"	"BT"	3	"F"	63	10
"3B0018E8B5"	"RL1"	35	"N"	"ABR6117"	"BT"	3	"F"	63	10
"3B0018E8B5"	"RL2"	20	"N"	"ABR6117"	"BT"	3	"F"	63	10
"3B0018F306"	"RL2"	20	"N"	"ABR6399"	"GT"	3	"M"	78	19.1
"3B0018F35B"	"RL1"	NA	"N"	"ABR6287"	"BT"	3	"F"	61	11.2
"3B0018F35B"	"RL2"	25	"N"	"ABR6287"	"BT"	3	"F"	61	11.2
"3B0018F3A2"	"IL"	20	"N"	"ABR6417"	"GT"	2	"F"	75	18.1
"3B0018F3A2"	"RL1"	30	"N"	"ABR6417"	"GT"	2	"F"	75	18.1
"3B0018F3A2"	"RL2"	22	"N"	"ABR6417"	"GT"	2	"F"	75	18.1
"3B0018F635"	"IL"	22	"N"	"ABR6122"	"BT"	3	"M"	62	10.2
"3B0018F635"	"RL1"	221	"N"	"ABR6122"	"BT"	3	"M"	62	10.2
"3B0018F635"	"RL2"	34	"N"	"ABR6122"	"BT"	3	"M"	62	10.2
"3B0018F7C4"	"IL"	20	"N"	"ABR6070"	"BT"	3	"U"	64	10.4
"3B0018F7C4"	"RL1"	NA	"N"	"ABR6070"	"BT"	3	"U"	64	10.4
"3B0018F7C4"	"RL2"	20	"N"	"ABR6070"	"BT"	3	"U"	64	10.4
"3B0019012A"	"RL2"	23	"N"	"ABR6403"	"GT"	3	"F"	73	17.3
"3B001903A1"	"IL"	27	"N"	"ABR6313"	"BT"	6	"F"	61	10.5
"3B001903A1"	"RL1"	188	"N"	"ABR6313"	"BT"	6	"F"	61	10.5
"3B001903A1"	"RL2"	123	"N"	"ABR6313"	"BT"	6	"F"	61	10.5
"3B001909A5"	"IL"	20	"N"	"ABR6076"	"BT"	3	"U"	NA	NA
"3B001909A5"	"RL1"	NA	"N"	"ABR6076"	"BT"	3	"U"	NA	NA
"3B001909A5"	"RL2"	41	"N"	"ABR6076"	"BT"	3	"U"	NA	NA
"3B0019133A"	"RL1"	21	"N"	"ABR6400"	"BT"	3	"F"	59	11
"3B0019133A"	"RL2"	45	"N"	"ABR6400"	"BT"	3	"F"	59	11
"3B00191A12"	"IL"	20	"R"	"AZP1322"	"GT"	4	"M"	78	19.4
"3B00191A12"	"RL1"	NA	"R"	"AZP1322"	"GT"	4	"M"	78	19.4
"3B00191BA6"	"RL2"	21	"N"	"ABR6128"	"BT"	4	"F"	63	11.1
"3B001925B8"	"IL"	49	"R"	"ABR6320"	"BT"	3	"M"	61	9.9
"3B001925B8"	"RL1"	40	"R"	"ABR6320"	"BT"	3	"M"	61	9.9
"3B001925B8"	"RL2"	52	"R"	"ABR6320"	"BT"	3	"M"	61	9.9
"3B001925F4"	"IL"	20	"N"	"ABR6119"	"BT"	3	"U"	64	11.1
"3B001925F4"	"RL1"	NA	"N"	"ABR6119"	"BT"	3	"U"	64	11.1
"3B001925F4"	"RL2"	31	"N"	"ABR6119"	"BT"	3	"U"	64	11.1
"3B0019289B"	"IL"	41	"N"	"ABR6196"	"GT"	3	"M"	76	19
"3B001928D7"	"IL"	21	"R"	"AJT8687"	"BT"	4	"M"	64	11.7
"3B001928D7"	"RL1"	NA	"R"	"AJT8687"	"BT"	4	"M"	64	11.7
"3B001928D7"	"RL2"	36	"R"	"AJT8687"	"BT"	4	"M"	64	11.7
"3B001938EB"	"RL1"	20	"N"	"ABR6404"	"GT"	3	"M"	77	17.7
"3B001938EB"	"RL2"	28	"N"	"ABR6404"	"GT"	3	"M"	77	17.7
"3B00193B15"	"IL"	20	"N"	"ABR6466"	"BT"	3	"M"	65	11
"3B00193B15"	"RL1"	177	"N"	"ABR6466"	"BT"	3	"M"	65	11
"3B00193B15"	"RL2"	37	"N"	"ABR6466"	"BT"	3	"M"	65	11
"3B00193B6E"	"IL"	21	"N"	"ABR6353"	"BT"	3	"M"	65	11.4
"3B00193B6E"	"RL1"	NA	"N"	"ABR6353"	"BT"	3	"M"	65	11.4
"3B00193B6E"	"RL2"	27	"N"	"ABR6353"	"BT"	3	"M"	65	11.4
"3B0019448F"	"IL"	20	"N"	"ABR6608"	"BT"	3	"M"	65	11.3
"3B0019448F"	"RL1"	NA	"N"	"ABR6608"	"BT"	3	"M"	65	11.3
"3B0019448F"	"RL2"	26	"N"	"ABR6608"	"BT"	3	"M"	65	11.3
"3B00194C9D"	"IL"	41	"N"	"ABR6432"	"GT"	3	"F"	73	17.3
"3B00194C9D"	"RL1"	41	"N"	"ABR6432"	"GT"	3	"F"	73	17.3
"3B001A0E6F"	"IL"	22	"N"	"ABR6526"	"GT"	3	"F"	74	18.3
"3B001A0E6F"	"RL1"	NA	"N"	"ABR6526"	"GT"	3	"F"	74	18.3
"3B001A0E6F"	"RL2"	57	"N"	"ABR6526"	"GT"	3	"F"	74	18.3
"3B00484FE8"	"IL"	41	"R"	"AZP1276"	"BT"	4	"M"	65	10.9
"3B00484FE8"	"RL1"	27	"R"	"AZP1276"	"BT"	4	"M"	65	10.9
"3B00484FE8"	"RL2"	26	"R"	"AZP1276"	"BT"	4	"M"	65	10.9
"3B00485D41"	"RL2"	21	"R"	"ABR6497"	"BT"	3	"F"	63	16.4
"3B004885D1"	"IL"	20	"N"	"ABR6455"	"GT"	3	"M"	76	18.7
"3B00489154"	"RL1"	21	"N"	"ABR6394"	"GT"	3	"M"	78	19.8
"3B00489154"	"RL2"	42	"N"	"ABR6394"	"GT"	3	"M"	78	19.8
"3B0048BC1B"	"IL"	20	"N"	"ABR6282"	"BT"	3	"M"	66	11.3
"3B0048BC1B"	"RL1"	89	"N"	"ABR6282"	"BT"	3	"M"	66	11.3
"3B0048BC1B"	"RL2"	53	"N"	"ABR6282"	"BT"	3	"M"	66	11.3
"3B0048CDD5"	"IL"	29	"R"	"Z577990"	"BT"	3	"F"	59	10.7
"3B0048CDD5"	"RL1"	146	"R"	"Z577990"	"BT"	3	"F"	59	10.7
"3B0048CDD5"	"RL2"	115	"R"	"Z577990"	"BT"	3	"F"	59	10.7
"3B004B1D48"	"IL"	27	"R"	"S838364"	"GT"	4	"M"	79	20.6
"3B004B1D48"	"RL1"	NA	"R"	"S838364"	"GT"	4	"M"	79	20.6
"3B004B1D48"	"RL2"	44	"R"	"S838364"	"GT"	4	"M"	79	20.6
"3B004B4C14"	"IL"	20	"N"	"ABR6441"	"GT"	4	"M"	76	18.1
"3B004B4C14"	"RL1"	NA	"N"	"ABR6441"	"GT"	4	"M"	76	18.1
"3B004CA284"	"IL"	20	"N"	"Z577989"	"GT"	3	"F"	74	19.6
"3B004CA284"	"RL1"	NA	"N"	"Z577989"	"GT"	3	"F"	74	19.6
